#ID	x	y	T1	e_T1	CT1	e_CT1
97759	5561.565	574.361	23.311	0.108	1.045	0.203
236258	5561.621	2104.646	21.179	0.021	0.673	0.037
97760	5561.64	1363.124	21.009	0.016	-0.152	0.019
97761	5561.643	695.5	22.701	0.105	0.324	0.118
97762	5561.678	1181.733	21.862	0.031	0.314	0.049
236260	5561.707	2896.458	22.439	0.043	0.606	0.087
97763	5561.756	1243.971	23.093	0.208	0.895	0.356
97764	5561.775	1118.447	21.411	0.047	0.621	0.077
236261	5561.863	3165.74	22.332	0.049	0.397	0.068
236263	5561.909	2128.95	22.504	0.052	0.634	0.084
236264	5561.93	2853.714	21.819	0.027	0.733	0.042
236265	5561.932	2458.33	22.073	0.039	0.651	0.052
97766	5561.974	659.613	22.581	0.048	0.516	0.067
97767	5561.977	1133.595	22.597	0.112	0.528	0.144
236266	5561.986	3092.88	20.946	0.018	0.476	0.021
236267	5561.988	3037.484	22.434	0.037	0.695	0.124
97768	5562.003	1043.677	21.835	0.038	-0.049	0.046
236268	5562.018	2378.345	23.401	0.12	0.952	0.345
97769	5562.02	1327.736	23.547	0.103	0.818	0.233
97770	5562.045	1128.094	18.668	0.007	1.213	0.011
97771	5562.053	1291.447	22.31	0.057	0.257	0.086
97772	5562.097	1528.999	21.67	0.031	0.412	0.039
236270	5562.141	2484.529	22.889	0.064	0.437	0.085
236271	5562.184	2578.574	22.454	0.045	0.316	0.064
236272	5562.187	2413.223	20.553	0.013	1.219	0.02
