#
# Combined Table 1 & 2 using the GALEV z=0.004 model.
#
# Age: Uncorrected age
# Agec: Extinction corrected age
#
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table1
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table2
#
#Seq  RAJ2000       DEJ2000      Vmag   e      U-B    e      B-V    e      V-I    e      Model  Z      Seq    Age    e      E      Agec  e    E     Contam
#     h:m:s         d:m:s        mag    mag    mag    mag    mag    mag    mag    mag                         Myr    Myr    Myr    Myr   Myr  Myr
132   1 1  44.8    -72 33 51.2   11.47  0.43   -0.38  0.1    0.03   0.05   0.09   0.1    GALEV  0.004  132    8      3      84     8     3    16    X
133   1 1  52.62   -72 10 56.7   15.5   0.47   -0.2   0.07   -0.04  0.1    0.43   0.03   GALEV  0.004  133    100    92     150    88    60   100
134   1 2  2.77    -71 1  14.3   16.17  0.84   0.48   99.99  0.84   99.99  1.06   99.99  GALEV  0.004  134    10980  2212   14000  5780  1560 14000
135   1 2  6.34    -73 55 22.7   12.95  0.6    0.32   0.07   0.78   0.04   1.13   0.05   GALEV  0.004  135    5640   3060   7200   4060  2620 6820
136   1 2  12.83   -71 36 16.2   11.77  0.16   0.43   0.04   0.66   0.04   1.07   0.04   GALEV  0.004  136    2520   1968   3040   2188  1660 2960  X
137   1 2  13.13   -72 57 58.5   14.37  0.03   -0.08  0.04   0.61   0.08   1.1    0.15   GALEV  0.004  137    524    472    612    280   140  396
138   1 2  31.86   -72 19 5.3    14.92  0.62   0.08   0.83   0.88   0.61   1.11   0.62   GALEV  0.004  138    6360   108    14000  6280  12   14000
139   1 2  38.11   -73 22 54     15.7   0.13   0.08   0.08   -0.05  0.04   -0.06  0.05   GALEV  0.004  139    8      3      12     8     3    18
140   1 2  42.69   -71 28 52.9   14.05  99.99  -0.13  99.99  0.46   99.99  0.7    99.99  GALEV  0.004  140    524    268    1020   396   32   744
141   1 2  49.4    -73 44 19.1   14.57  0.29   -0.23  0.06   0.42   0.22   0.67   0.19   GALEV  0.004  141    248    112    452    108   44   132
142   1 2  55.75   -73 20 18.6   14.21  99.99  2.44   99.99  1.39   99.99  1.01   99.99  GALEV  0.004  142    12020  10120  14000  12020 7080 14000 X
143   1 3  11.53   -72 16 23.5   13.56  99.99  -0.46  99.99  -0.16  99.99  -0.05  99.99  GALEV  0.004  143    8      3      16     16    8    30
144   1 3  21.86   -72 39 8.1    13.1   99.99  -0.6   99.99  -0.04  99.99  -0.13  99.99  GALEV  0.004  144    8      3      16     16    8    30
145   1 3  50.21   -72 49 33.5   10.9   99.99  -0.33  99.99  0.26   99.99  0.73   99.99  GALEV  0.004  145    248    32     548    32    20   284
146   1 4  5.37    -74 37 6.1    15.25  0.81   0.55   0.32   0.88   0.3    1.3    0.07   GALEV  0.004  146    12020  5700   14000  11780 2900 14000
147   1 4  12.92   -73 15 40.1   14.3   0.63   0.09   0.06   0.38   0.12   0.75   0.09   GALEV  0.004  147    792    640    996    424   320  720
148   1 4  24.34   -71 42 46.5   14.94  99.99  0.33   99.99  -0.01  99.99  -0.05  99.99  GALEV  0.004  148    672    100    964    100   60   108
149   1 4  30.49   -72 37 6.4    14.12  99.99  -0.22  99.99  0.34   99.99  0.48   99.99  GALEV  0.004  149    400    100    700    100   24   432   X
150   1 4  36.2    -72 9  36.7   12.26  0.06   -0.5   0.04   -0.12  0.03   -0.22  0.06   GALEV  0.004  150    8      3      12     8     3    18
