#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
    285  05 16 16.84  -69 09 15.2     11     8.10  0.10  99.9 99.99
    286  05 16 21.01  -69 32 31.1     18 <   6.80 99.99  99.9 99.99
    289  05 16 26.92  -69 40 26.9     11     7.80  0.10  99.9 99.99
    290  05 16 32.11  -68 55 07.4     17     7.70  0.10  99.9 99.99
    292  05 16 41.24  -69 39 24.4     35 >   9.20 99.99  99.9 99.99
    293  05 16 44.63  -69 27 42.9     12     7.30  0.20  99.9 99.99
    295  05 16 49.56  -69 29 50.6     12 <   6.70 99.99  99.9 99.99
    298  05 16 52.88  -69 09 00.0     12     7.30  0.20  99.9 99.99
    299  05 16 53.02  -69 25 11.5     20     8.10  0.05  99.9 99.99
    300  05 16 53.42  -69 43 27.0     11     9.05  0.10  99.9 99.99
    301  05 16 54.05  -69 34 56.3     14     8.20  0.10  99.9 99.99
    302  05 16 54.41  -68 52 35.8     20     8.65  0.05  99.9 99.99
    303  05 16 55.59  -69 08 51.2     30     6.70  0.10  99.9 99.99
    304  05 17 08.00  -68 52 23.5     41     9.00  0.10  99.9 99.99
    305  05 17 14.76  -69 32 26.3     39     6.80  0.15  99.9 99.99
    307  05 17 19.96  -69 12 48.5     18     9.10  0.08  99.9 99.99
    309  05 17 22.39  -69 20 16.2     49     7.88  0.03  99.9 99.99
    310  05 17 25.62  -69 06 54.5     39 <   6.70 99.99  99.9 99.99
    311  05 17 26.59  -69 22 31.8     45     9.00  0.08  99.9 99.99
    312  05 17 27.68  -69 21 22.3     31     8.00  0.05  99.9 99.99
    313  05 17 29.24  -69 24 58.0     11     8.25  0.05  99.9 99.99
    314  05 17 33.42  -69 30 53.2     24     8.50  0.05  99.9 99.99
    315  05 17 38.26  -68 58 21.5     24     8.50  0.10  99.9 99.99
    316  05 17 43.83  -69 34 06.1     22     6.80  0.20  99.9 99.99
    318  05 17 48.65  -69 38 40.5     43     9.05  0.10  99.9 99.99
    319  05 17 48.72  -69 24 36.2     26     7.00  0.10  99.9 99.99
    320  05 17 49.82  -69 41 39.5     10     7.65  0.05  99.9 99.99
    321  05 17 56.16  -69 34 52.3     17     8.10  0.07  99.9 99.99
    322  05 18 00.61  -69 08 00.6     12     9.00  0.05  99.9 99.99
    323  05 18 05.10  -69 10 17.8     24     7.90  0.10  99.9 99.99
    324  05 18 06.44  -69 31 46.4     29     7.40  0.10  99.9 99.99
    326  05 18 10.51  -69 32 26.8     14     8.00  0.10  99.9 99.99
    327  05 18 10.88  -69 16 52.7     23 <   6.60 99.99  99.9 99.99
    328  05 18 11.41  -69 13 05.7     32 <   6.60 99.99  99.9 99.99
    329  05 18 18.05  -69 45 04.9     18     8.00  0.10  99.9 99.99
    330  05 18 18.74  -69 32 14.8     41     7.38  0.03  99.9 99.99
    331  05 18 24.72  -69 29 05.8     33     7.40  0.05  99.9 99.99
    332  05 18 25.56  -69 19 30.2     32     8.10  0.05   8.4 99.99
    333  05 18 28.89  -69 37 00.1     39     7.00  0.05  99.9 99.99
    334  05 18 31.19  -69 45 14.6     24     7.95  0.08  99.9 99.99
    336  05 18 37.87  -69 24 22.9     61 >   9.20 99.99  99.9 99.99
    337  05 18 41.31  -69 04 46.1     18     8.80  0.10  99.9 99.99
    338  05 18 42.53  -69 14 12.3     46     6.70  0.10  99.9 99.99
    340  05 18 46.72  -69 13 32.4     19 <   6.80 99.99  99.9 99.99
    341  05 18 51.25  -69 22 14.1     30     8.90  0.05  99.9 99.99
    342  05 18 53.28  -69 31 19.3     24     8.00  0.05  99.9 99.99
    343  05 19 02.10  -69 00 03.8     37     9.00  0.05  99.9 99.99
    344  05 19 03.76  -69 11 36.1     30 <   6.70 99.99  99.9 99.99
    345  05 19 04.55  -69 48 38.3     18     8.80  0.03  99.9 99.99
    346  05 19 08.90  -69 15 36.2     13     8.75  0.05  99.9 99.99
    347  05 19 18.99  -69 42 51.1     14     8.30  0.08  99.9 99.99
    348  05 19 24.00  -69 47 16.5     41     8.10  0.10  99.9 99.99
    349  05 19 24.09  -69 39 01.1     41     6.60  0.10  99.9 99.99
    350  05 19 24.78  -69 19 18.0     36     8.50  0.10  99.9 99.99
    351  05 19 25.74  -69 32 27.1     33     8.30  0.05  99.9 99.99
    352  05 19 33.20  -69 26 44.5     18     8.70  0.05  99.9 99.99
    353  05 19 33.88  -69 32 31.9     26     8.80  0.10  99.9 99.99
    354  05 19 49.29  -69 29 41.7     31     7.15  0.10  99.9 99.99
    355  05 19 49.52  -69 26 56.5     30 <   6.70 99.99  99.9 99.99
    356  05 19 54.37  -68 57 52.7     30     9.00  0.03  99.9 99.99
    358  05 19 57.35  -69 41 27.6     16     8.00  0.10  99.9 99.99
    359  05 19 57.48  -69 25 02.8     18     8.00  0.10  99.9 99.99
    360  05 19 59.59  -70 39 54.6     17     8.40  0.10  99.9 99.99
    361  05 20 02.05  -69 15 39.6     10     8.00  0.10  99.9 99.99
    362  05 20 03.01  -69 23 59.1     11     9.00  0.05  99.9 99.99
    365  05 20 08.04  -70 09 15.0     10     8.30  0.10  99.9 99.99
    367  05 20 15.93  -69 20 24.8     14     8.00  0.10  99.9 99.99
    368  05 20 20.91  -70 46 06.2     18     8.10  0.05  99.9 99.99
    369  05 20 23.57  -69 35 03.1     28     8.30  0.07  99.9 99.99
