#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
G10   SMC       L62   8.00   0.30   7.6   -1.0   8.10   0.24      -1.00       -1     1473     -1.0     0.13     0.16     -1.0     0.06     0.02
G10   LMC   H88-316   8.00   0.40  7.25   -1.0   8.25   0.10      -1.00       -1     1182     -1.0     0.30     0.24     -1.0     0.15     0.05
G10   SMC      HW55   9.00   0.50   9.1   -1.0   9.40   0.28      -1.00       -1     1446     -1.0     0.08     0.08     -1.0     0.02    -1.00
G10   LMC   NGC1793   8.00   0.40  7.95   -1.0   8.05   0.10      -1.00       -1     1453     -1.0     0.20     0.12     -1.0     0.11     0.05
G10   LMC  KMHK1055   8.80   0.50   6.9   -1.0   9.00   0.10      -1.00       -1     1482     -1.0     0.05      0.1     -1.0     0.06    -1.00
G10   LMC   KMHK112   8.80   0.50   9.1   -1.0   9.10   0.08      -1.00       -1     1225     -1.0     0.10     0.11     -1.0    -1.00    -1.00
G10   LMC     HS264   8.60   0.40  9.05   -1.0   9.20   0.06      -1.00       -1     1422     -1.0     0.15     0.01     -1.0    -1.00    -1.00
G10   LMC   NGC1839   7.90   0.30  8.05   -1.0   8.10   0.20      -1.00       -1     1392     -1.0     0.10     0.12     -1.0     0.15     0.03
G10   SMC       L50   7.70   0.30   7.7   -1.0   7.90   0.25      -1.00       -1     1389     -1.0     0.04     0.13     -1.0     0.07     0.02
G10   LMC   NGC1863   7.80   0.40  7.45   -1.0   7.70   0.20      -1.00       -1     1473     -1.0     0.15     0.17     -1.0     0.15     0.03
G10   SMC      HW31   8.90   0.30   9.1   -1.0   9.68   0.21      -1.00       -1     1315     -1.0     0.03     0.12     -1.0     0.03     0.01
G10   LMC   NGC1838   8.00   0.30  7.85   -1.0   8.00   0.25      -1.00       -1     1439     -1.0     0.15     0.14     -1.0     0.15     0.03
G10   LMC     SL218   7.60   0.30   7.6   -1.0   7.70   0.20      -1.00       -1     1367     -1.0     0.10     0.14     -1.0     0.15     0.03
G10   SMC      HW22   8.85   0.50  9.65   -1.0   9.78   0.22      -1.00       -1     1133     -1.0     0.08     0.04     -1.0     0.06    -1.00
G10   LMC     HS412   8.10   0.30  7.85   -1.0   8.10   0.10      -1.00       -1     1409     -1.0     0.15     0.26     -1.0     0.17     0.05
G10   LMC   KMHK979   7.30   0.40  6.65   -1.0   7.90   0.10      -1.00       -1     1423     -1.0     0.10     0.14     -1.0     0.09     0.05
G10   SMC      HW63   8.65   0.40  9.55   -1.0   9.73   0.19      -1.00       -1     1326     -1.0     0.10     0.04     -1.0     0.04     0.02
G10   SMC      HW40   9.00   0.50   9.4   -1.0   9.73   0.19      -1.00       -1     1162     -1.0     0.05     0.09     -1.0     0.06     0.01
G10   LMC     SL444   8.70   0.30  8.85   -1.0   8.70   0.20      -1.00       -1     1450     -1.0     0.08     0.02     -1.0     0.06     0.02
G10   LMC      LW54   8.60   0.30  8.65   -1.0   8.60   0.10      -1.00       -1     1126     -1.0     0.03     0.01     -1.0     0.00     0.05
G10   SMC       L35   8.35   0.30  7.85   -1.0   8.34   0.23      -1.00       -1     1419     -1.0     0.10     0.06     -1.0     0.02     0.02
G10   LMC     SL230   7.40   0.30     8   -1.0   7.90   0.10      -1.00       -1     1437     -1.0     0.16     0.03     -1.0     0.08     0.05
G10   LMC     SL290   8.30   0.40  9.05   -1.0   9.08   0.08      -1.00       -1     1498     -1.0     0.08     0.06     -1.0    -1.00    -1.00
G10   SMC       L91   8.90   0.40   9.5   -1.0   9.63   0.23      -1.00       -1     1498     -1.0     0.09        0     -1.0     0.04     0.01
G10   SMC      HW41   9.00   0.50   9.5   -1.0   9.78   0.17      -1.00       -1     1316     -1.0     0.10     0.07     -1.0     0.06     0.01
G10   SMC       L58   9.00   0.50     9   -1.0   9.30   0.15      -1.00       -1     1484     -1.0     0.02     0.07     -1.0     0.02    -1.00
G10   LMC     SL555   8.80   0.50  8.85   -1.0   9.28   0.21      -1.00       -1     1428     -1.0     0.02     0.08     -1.0     0.07     0.02
